frame,x,y,photons,sx,sy,bg,lpx,lpy,net_gradient,likelihood,iterations
0,14.999618,265.9999,1.3767548,1.1940274,1.1940274,0.01,1.3841462,1.384146,2.8081596,-1.5286646,1
0,15.999691,78.00015,1.0304642,1.1056858,1.1056858,0.01,1.472885,1.472885,2.4688256,-1.2320848,1
0,16.999554,144.99974,1.6702118,1.2065271,1.2065271,0.01,1.2537197,1.2537191,2.3781428,-1.7948534,1
0,16.999836,156.0003,1.0891953,1.1244719,1.1244719,0.01,1.4582963,1.4582963,2.6808739,-1.2828736,1
0,16.999857,210.99992,1.0,1.0218093,1.0218093,0.01,1.3463335,1.3463334,2.652834,-1.221369,1
0,16.999872,23.99999,1.0,1.1428858,1.1428858,0.01,1.5755872,1.5755869,2.3751142,-1.1934042,1
0,16.999893,91.00003,1.0,1.1380781,1.1380781,0.01,1.5656828,1.5656828,2.0308795,-1.1947006,1
0,16.999899,179.00008,1.0,1.0575234,1.0575234,0.01,1.4097753,1.4097754,2.482993,-1.2141706,1
0,17.00006,112.00003,1.0,1.1043055,1.1043055,0.01,1.4980556,1.4980556,2.4175959,-1.2033914,1
0,17.000282,256.0002,1.1760864,1.1440117,1.1440117,0.01,1.426804,1.426804,2.6232476,-1.3591653,1
0,17.999594,276.99994,1.4468002,1.2312993,1.2312993,0.01,1.4110575,1.4110577,2.8127904,-1.5769387,1
0,17.999847,321.99966,1.2303925,1.1780783,1.1780783,0.01,1.4512589,1.451259,2.6274188,-1.3985537,1
0,17.999882,68.9998,1.0,1.1569147,1.1569147,0.01,1.6048936,1.6048934,2.7119858,-1.1895396,1
0,17.99997,134.99994,1.0,1.1102372,1.1102372,0.01,1.5096904,1.5096904,2.6425521,-1.2019187,1
0,17.99998,46.000225,1.0,1.1448852,1.1448852,0.01,1.5797269,1.5797268,1.8981798,-1.1928607,1
0,18.000015,286.99976,1.0,1.0887988,1.0887988,0.01,1.4681171,1.468117,2.5251496,-1.2071302,1
0,18.000092,101.99968,1.028862,1.1860622,1.1860622,0.01,1.6382623,1.6382622,2.4048223,-1.2080088,1
0,18.000118,333.00015,1.0,1.1511631,1.1511631,0.01,1.5928053,1.5928047,2.625457,-1.1911385,1
0,18.000208,56.000202,1.0,1.1748098,1.1748098,0.01,1.6431665,1.6431664,1.9009548,-1.1844379,1
0,18.99994,299.00012,1.0,1.0988547,1.0988547,0.01,1.4874538,1.4874538,2.4453201,-1.2047241,1
0,18.99997,199.99997,1.0,1.1547322,1.1547322,0.01,1.6002942,1.6002942,1.8523415,-1.1901486,1
0,19.000074,220.99982,1.0,1.078351,1.078351,0.01,1.4483285,1.4483287,2.8568094,-1.2095573,1
0,19.00008,311.99988,1.0,1.0172092,1.0172092,0.01,1.3383969,1.3383969,2.4140081,-1.22223,1
0,19.00011,246.00026,1.0,1.0752952,1.0752952,0.01,1.442598,1.4425979,2.6709032,-1.210253,1
0,19.000113,123.99993,1.0,0.9838115,0.9838115,0.01,1.2823066,1.2823071,2.2632277,-1.2280235,1
0,19.000143,36.999905,1.0,1.0676762,1.0676762,0.01,1.4284217,1.4284219,2.6345623,-1.2119595,1
0,19.000263,164.99976,1.3729858,1.1614963,1.1614963,0.01,1.3284895,1.3284899,2.634368,-1.538206,1
0,19.000393,190.00009,1.1906662,1.1413388,1.1413388,0.01,1.41111,1.4111099,2.781281,-1.373778,1
0,20.00004,342.99994,1.0,1.0949135,1.0949135,0.01,1.4798409,1.4798411,3.014571,-1.2056752,1
0,20.00007,233.99986,1.0,1.1029481,1.1029481,0.01,1.4954073,1.4954073,2.7504148,-1.2037251,1
0,28.00008,68.99994,1.0,1.1411506,1.1411506,0.01,1.5720041,1.5720042,2.5118704,-1.1938738,1
0,28.000122,167.00018,1.0,1.151044,1.151044,0.01,1.5925555,1.5925556,2.2552752,-1.1911714,1
0,28.999289,188.99951,3.0989075,1.2227792,1.2227792,0.01,0.89895976,0.89895964,4.6535325,-3.1005893,1
0,28.999802,100.000084,1.0265579,1.1639024,1.1639024,0.01,1.5933369,1.5933373,2.7787144,-1.2124699,1
0,28.999805,88.99986,1.0,1.0438561,1.0438561,0.01,1.3851075,1.3851073,2.6659796,-1.2170324,1
0,28.999863,333.00015,1.0,1.1651361,1.1651361,0.01,1.6223518,1.6223522,2.673576,-1.1872193,1
0,28.99988,211.00023,1.0,1.1297902,1.1297902,0.01,1.5487727,1.5487727,2.6345901,-1.1969013,1
